date,MMM_open,MMM_close,MMM_volume,DIS_open,DIS_close,DIS_volume,price_ratio,ratio_mean,ratio_std,z_score,upper_bound,lower_bound
1962-01-02,3.55,3.47,254522,0.092908,0.092908,841958,37.34877513238903,,,,,
1962-01-03,3.5,3.5,505217,0.092908,0.094155,801865,37.17274706600818,,,,,
1962-01-04,3.56,3.5,254522,0.094155,0.094155,962238,37.17274706600818,,,,,
1962-01-05,3.49,3.41,376999,0.094155,0.094467,962238,36.09726147755301,,,,,
1962-01-08,3.42,3.39,399964,0.094467,0.094155,1282984,36.004460729647924,,,,,
1962-01-09,3.42,3.39,376999,0.094155,0.096026,641492,35.30293878741174,,,,,
1962-01-10,3.38,3.35,304278,0.096026,0.096961,681585,34.54997370076629,,,,,
1962-01-11,3.37,3.34,269832,0.096961,0.099767,2004663,33.47800374873455,,,,,
1962-01-12,3.38,3.27,692760,0.099767,0.09665,2004663,33.83341955509571,,,,,
1962-01-15,3.31,3.31,252608,0.09665,0.09665,641492,34.24728401448526,,,,,
1962-01-16,3.36,3.36,239212,0.096026,0.094155,360839,35.68583718336785,,,,,
1962-01-17,3.37,3.34,135872,0.094155,0.091038,400933,36.68797644939476,,,,,
1962-01-18,3.37,3.36,306192,0.091661,0.092908,320746,36.16480819735652,,,,,
1962-01-19,3.36,3.32,170319,0.093532,0.094779,441026,35.028856603255996,,,,,
1962-01-22,3.36,3.34,246867,0.095403,0.096338,360839,34.66960078058502,,,,,
1962-01-23,3.38,3.33,164578,0.096338,0.096026,1202798,34.678108012413304,,,,,
1962-01-24,3.36,3.36,139700,0.096026,0.094779,360839,35.45089102016269,,,,,
1962-01-25,3.37,3.34,415273,0.094779,0.093532,160373,35.70970363084292,,,,,
1962-01-26,3.36,3.35,118649,0.093532,0.092908,360839,36.0571748396263,,,,,
1962-01-29,3.36,3.3,216248,0.092908,0.092908,240560,35.51900805097515,,,,,
1962-01-30,3.34,3.32,170319,0.092908,0.093532,681585,35.49587307017919,,,,,
1962-01-31,3.5,3.45,327243,0.093532,0.093532,320746,36.88577171449344,,,,,
1962-02-01,3.57,3.55,319588,0.093532,0.094779,1282984,37.45555450046951,,,,,
1962-02-02,3.61,3.59,239212,0.094779,0.094779,641492,37.87758891737621,,,,,
1962-02-05,3.65,3.65,233471,0.094779,0.094779,400933,38.51064054273626,,,,,
1962-02-06,3.66,3.66,210507,0.094779,0.094155,240560,38.872072646168554,,,,,
1962-02-07,3.67,3.65,221989,0.094779,0.095403,1403264,38.25875496577675,,,,,
1962-02-08,3.66,3.64,116735,0.09665,0.097897,2084849,37.18193611653064,,,,,
1962-02-09,3.67,3.64,153096,0.098209,0.09852,1042425,36.94681282988226,,,,,
1962-02-12,3.63,3.61,110994,0.09852,0.09852,641492,36.64230613073487,,,,,
1962-02-13,3.63,3.55,183715,0.09852,0.09852,641492,36.03329273244011,,,,,
1962-02-14,3.55,3.45,179888,0.098209,0.097273,200466,35.46719027890576,,,,,
